"dataset","method","errs","dist"
"roseobacter","alfred-e","1","18"
"roseobacter","alfred-e","2","20"
"roseobacter","alfred-e","3","18"
"roseobacter","alfred-e","4","20"
"roseobacter","alfred-e","5","22"
"roseobacter","alfred-h","0","24"
"roseobacter","alfred-h","1","18"
"roseobacter","alfred-h","10","10"
"roseobacter","alfred-h","2","20"
"roseobacter","alfred-h","3","18"
"roseobacter","alfred-h","4","20"
"roseobacter","alfred-h","5","22"
"roseobacter","alfred-h","6","10"
"roseobacter","alfred-h","7","8"
"roseobacter","alfred-h","8","8"
"roseobacter","alfred-h","9","10"
"roseobacter","kmacs","0","24"
"roseobacter","kmacs","1","18"
"roseobacter","kmacs","10","8"
"roseobacter","kmacs","11","8"
"roseobacter","kmacs","12","8"
"roseobacter","kmacs","13","8"
"roseobacter","kmacs","14","8"
"roseobacter","kmacs","15","8"
"roseobacter","kmacs","2","20"
"roseobacter","kmacs","3","18"
"roseobacter","kmacs","4","20"
"roseobacter","kmacs","5","22"
"roseobacter","kmacs","6","22"
"roseobacter","kmacs","7","10"
"roseobacter","kmacs","8","10"
"roseobacter","kmacs","9","10"
"roseobacter","spaced","X","18"
